date,congress,url,member_id,member,party,roll_call,session,type
3/8/12,112,http://beta.congress.gov/congressional-record/2012/03/08/extensions-of-remarks-section/article/E351-3,C001086,CRAVAACK,R,95,2,passage
2/28/12,112,http://beta.congress.gov/congressional-record/2012/02/28/extensions-of-remarks-section/article/E264-3,E000288,ELLISON,D,73,2,passage
2/17/12,112,http://beta.congress.gov/congressional-record/2012/02/17/extensions-of-remarks-section/article/E226-1,B001232,BIGGERT,R,64,2,amendment
2/16/12,112,http://beta.congress.gov/congressional-record/2012/02/16/extensions-of-remarks-section/article/E211-2,G000560,GRAVES OF GEORGIA,R,61,2,amendment
2/1/12,112,http://beta.congress.gov/congressional-record/2012/02/01/extensions-of-remarks-section/article/E109-3,W000800,WELCH,D,12,2,procedural
12/16/11,112,http://beta.congress.gov/congressional-record/2011/12/16/extensions-of-remarks-section/article/E2286-3,C000714,CONYERS,D,927,1,passage
12/16/11,112,http://beta.congress.gov/congressional-record/2011/12/16/extensions-of-remarks-section/article/E2286-3,C000714,CONYERS,D,928,1,passage
12/12/11,112,http://beta.congress.gov/congressional-record/2011/12/12/extensions-of-remarks-section/article/E2227-2,G000410,GREEN OF TEXAS,D,,1,passage
12/7/11,112,http://beta.congress.gov/congressional-record/2011/12/07/extensions-of-remarks-section/article/E2203-2,C001038,CROWLEY,D,891,1,passage
12/2/11,112,http://beta.congress.gov/congressional-record/2011/12/02/extensions-of-remarks-section/article/E2166-3,S001174,SUTTON,D,880,1,passage
11/18/11,112,http://beta.congress.gov/congressional-record/2011/11/18/extensions-of-remarks-section/article/E2098-2,K000362,KING OF IOWA,R,843,1,amendment
11/17/11,112,http://beta.congress.gov/congressional-record/2011/11/17/extensions-of-remarks-section/article/E2076-1,W000799,WALZ OF MINNESOTA,D,842,1,procedural
11/17/11,112,http://beta.congress.gov/congressional-record/2011/11/17/extensions-of-remarks-section/article/E2091-2,G000535,GUTIERREZ,D,852,1,passage
11/4/11,112,http://beta.congress.gov/congressional-record/2011/11/04/extensions-of-remarks-section/article/E2020-2,D000399,DOGGETT,D,822,1,procedural
10/13/11,112,https://beta.congress.gov/congressional-record/2011/10/13/extensions-of-remarks-section/article/E1858-1,C001038,CROWLEY OF NEW YORK,D,771,1,procedural
10/12/11,112,https://beta.congress.gov/congressional-record/2011/10/12/extensions-of-remarks-section/article/E1830-2,A000022,ACKERMAN OF NEW YORK,D,774,1,amendment
9/15/11,112,https://beta.congress.gov/congressional-record/2011/09/15/house-section/article/H6198-1,G000550,GINGREY OF GEORGIA,R,706,1,passage
9/15/11,112,https://beta.congress.gov/congressional-record/2011/09/15/extensions-of-remarks-section/article/E1641-2,B001260,BUCHANAN OF FLORIDA,R,706,1,passage
9/14/11,112,https://beta.congress.gov/congressional-record/2011/09/14/extensions-of-remarks-section/article/E1625-3,S000510,SMITH OF WASHINGTON,D,705,1,passage
8/1/11,112,https://beta.congress.gov/congressional-record/2011/08/01/extensions-of-remarks-section/article/E1460-4,D000603,DAVIS OF KENTUCKY,R,522,1,amendment
7/27/11,112,https://beta.congress.gov/congressional-record/2011/07/27/extensions-of-remarks-section/article/E1421-1,A000022,ACKERMAN OF NEW YORK,D,650,1,passage
7/15/11,112,https://beta.congress.gov/congressional-record/2011/07/15/house-section/article/H5106-3,L000551,LEE,D,,1,amendment
